                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2021,                0.94269,                 1.3549,                0.82162,                 0.7232,                0.78371,                0.44912,                 1.6651,                  1.062,                 1.6634,             0.00090969,             0.00090969,             0.00090969
                     35,                  1.149,                0.91104,                 1.3278,                0.76681,                0.70576,                0.73913,                0.47973,                 1.3236,                0.98107,                 1.3792,             0.00089938,             0.00089938,             0.00089938
                     36,                  1.187,                 0.9381,                 1.3266,                 0.7606,                0.67783,                0.73396,                 0.4199,                 1.6033,                 1.1419,                 1.6198,             0.00088906,             0.00088906,             0.00088906
                     37,                  1.188,                0.91803,                 1.3461,                0.83844,                0.72073,                 0.7904,                0.47505,                 1.4815,                 1.0142,                 1.4464,             0.00087875,             0.00087875,             0.00087875
                     38,                  1.171,                0.91941,                 1.3392,                0.80215,                0.73742,                0.78435,                 0.4724,                 1.4925,                 1.0853,                 1.5023,             0.00086844,             0.00086844,             0.00086844
                     39,                 1.1374,                0.87757,                 1.3095,                0.84346,                0.67843,                0.76217,                0.49922,                 1.2772,                  1.081,                 1.4015,             0.00085813,             0.00085813,             0.00085813
                     40,                   1.16,                 0.8558,                 1.3312,                0.76456,                0.74203,                0.77339,                0.44146,                 1.5633,                 1.0781,                 1.5655,             0.00084781,             0.00084781,             0.00084781
                     41,                  1.115,                0.86615,                 1.2897,                 0.7594,                0.74209,                0.75856,                0.46157,                 1.3883,                  1.072,                 1.4588,              0.0008375,              0.0008375,              0.0008375
                     42,                 1.1052,                0.83355,                 1.2908,                0.76646,                0.74775,                0.79071,                0.50488,                 1.2779,                 1.0423,                 1.3689,             0.00082719,             0.00082719,             0.00082719
                     43,                  1.131,                0.84083,                 1.2856,                0.84081,                0.76508,                0.81865,                0.53495,                 1.2289,                0.94319,                 1.3333,             0.00081688,             0.00081688,             0.00081688
                     44,                  1.121,                0.84574,                 1.2921,                0.82204,                0.80869,                0.83256,                 0.5395,                 1.1904,                0.85218,                 1.3404,             0.00080656,             0.00080656,             0.00080656
                     45,                   1.11,                0.82254,                 1.2805,                0.80692,                0.73278,                0.79027,                0.49257,                 1.2795,                0.90008,                 1.4431,             0.00079625,             0.00079625,             0.00079625
                     46,                 1.1247,                0.86135,                 1.2983,                0.81902,                0.75699,                0.81766,                0.52578,                 1.3207,                0.93658,                 1.4071,             0.00078594,             0.00078594,             0.00078594
                     47,                  1.106,                0.82556,                 1.2909,                0.78763,                0.72299,                0.80213,                0.49962,                 1.3492,                0.92369,                 1.4221,             0.00077563,             0.00077563,             0.00077563
                     48,                 1.0529,                0.79965,                 1.2538,                0.83949,                0.78972,                0.84917,                0.53056,                  1.343,                0.86506,                 1.4223,             0.00076531,             0.00076531,             0.00076531
                     49,                 1.0685,                0.77664,                 1.2393,                0.80017,                0.78116,                0.82173,                0.53637,                  1.291,                 0.8234,                  1.418,               0.000755,               0.000755,               0.000755
                     50,                 1.0984,                0.83308,                 1.2708,                0.82028,                0.78859,                0.82703,                0.48764,                 1.5653,                0.87704,                 1.5355,             0.00074469,             0.00074469,             0.00074469
                     51,                 1.1159,                0.82458,                 1.2964,                0.76802,                0.76979,                0.81612,                 0.5136,                 1.3694,                0.87988,                 1.4585,             0.00073437,             0.00073437,             0.00073437
                     52,                 1.0784,                 0.7879,                 1.2588,                0.81653,                0.74506,                0.82138,                0.54377,                 1.2275,                 0.8573,                  1.336,             0.00072406,             0.00072406,             0.00072406
                     53,                 1.0875,                0.81288,                 1.2799,                0.79227,                 0.7643,                0.81227,                 0.5213,                 1.2488,                0.92455,                 1.3446,             0.00071375,             0.00071375,             0.00071375
                     54,                 1.1101,                 0.7835,                 1.2693,                0.79852,                0.75367,                0.79035,                0.52548,                 1.1962,                0.93987,                 1.3238,             0.00070344,             0.00070344,             0.00070344
                     55,                 1.0408,                0.73266,                 1.2327,                0.80636,                 0.7777,                0.80235,                0.50105,                 1.3835,                0.87002,                 1.4065,             0.00069313,             0.00069313,             0.00069313
                     56,                 1.0666,                0.76976,                 1.2572,                0.82057,                0.72994,                0.77785,                0.48631,                 1.4416,                0.92762,                 1.4523,             0.00068281,             0.00068281,             0.00068281
                     57,                 1.1095,                0.77782,                  1.281,                0.84814,                0.77141,                0.83621,                0.54675,                  1.271,                0.87097,                 1.3661,              0.0006725,              0.0006725,              0.0006725
                     58,                 1.0305,                0.73889,                 1.2231,                0.88078,                0.77083,                0.83945,                 0.5267,                 1.3227,                0.82562,                 1.3857,             0.00066219,             0.00066219,             0.00066219
                     59,                 1.0503,                0.75616,                 1.2562,                0.83074,                0.79443,                0.82171,                0.48359,                 1.6286,                0.87275,                 1.6146,             0.00065188,             0.00065188,             0.00065188
                     60,                 1.0654,                0.75329,                 1.2517,                0.82488,                0.73895,                0.80735,                0.50058,                 1.4172,                0.88929,                 1.4744,             0.00064156,             0.00064156,             0.00064156
                     61,                 1.0495,                0.76324,                 1.2592,                0.82035,                0.79333,                0.81682,                0.51609,                 1.3022,                0.83494,                 1.4061,             0.00063125,             0.00063125,             0.00063125
                     62,                 1.0691,                0.75237,                  1.261,                 0.8524,                0.73465,                0.81587,                 0.5547,                 1.1618,                0.83471,                 1.3265,             0.00062094,             0.00062094,             0.00062094
                     63,                 1.0542,                0.72203,                 1.2418,                  0.848,                0.77403,                0.83904,                0.55436,                 1.2498,                0.82957,                 1.3939,             0.00061062,             0.00061062,             0.00061062
                     64,                 1.0153,                0.74664,                 1.2317,                0.82839,                0.77356,                0.83113,                  0.543,                 1.2359,                0.83967,                 1.3988,             0.00060031,             0.00060031,             0.00060031
                     65,                 1.0459,                 0.7361,                 1.2444,                0.88454,                0.76316,                0.84572,                0.54311,                 1.3602,                0.84199,                 1.4257,                0.00059,                0.00059,                0.00059
                     66,                 1.0274,                0.73121,                 1.2601,                0.84397,                0.79561,                0.82892,                0.51338,                 1.4977,                0.92739,                 1.5229,             0.00057969,             0.00057969,             0.00057969
                     67,                  1.029,                0.73964,                 1.2336,                0.87139,                0.76022,                0.82359,                 0.5445,                 1.2902,                0.86444,                 1.4207,             0.00056938,             0.00056938,             0.00056938
                     68,                 1.0898,                0.74313,                 1.2493,                0.86045,                0.80449,                0.84911,                0.56329,                 1.2797,                0.84912,                 1.4017,             0.00055906,             0.00055906,             0.00055906
                     69,                 1.0251,                0.71418,                 1.2287,                0.82669,                0.79602,                0.84248,                0.54735,                   1.29,                0.83977,                 1.4072,             0.00054875,             0.00054875,             0.00054875
                     70,                 1.0207,                0.68426,                 1.2223,                0.84563,                0.76754,                0.83458,                0.56955,                 1.1871,                0.78235,                 1.3423,             0.00053844,             0.00053844,             0.00053844
                     71,                 1.0223,                0.69754,                 1.2256,                0.83035,                0.76409,                0.80186,                0.53226,                 1.2844,                0.83871,                 1.4291,             0.00052812,             0.00052812,             0.00052812
                     72,                 1.0143,                0.68697,                 1.2167,                0.78483,                0.80697,                0.80785,                0.54691,                 1.1621,                0.84141,                 1.3233,             0.00051781,             0.00051781,             0.00051781
                     73,                 1.0181,                0.72711,                 1.2356,                0.80796,                0.83249,                0.84479,                0.56591,                 1.1332,                0.75627,                 1.3285,              0.0005075,              0.0005075,              0.0005075
                     74,                0.99323,                 0.6799,                 1.1971,                0.83128,                 0.7661,                0.81886,                0.55521,                 1.1645,                0.82371,                 1.3338,             0.00049719,             0.00049719,             0.00049719
                     75,                0.98821,                0.66862,                 1.2033,                0.85573,                0.78517,                0.84828,                0.57417,                 1.1579,                0.77508,                 1.3179,             0.00048687,             0.00048687,             0.00048687
                     76,                0.99454,                0.67799,                 1.2091,                0.82108,                0.84124,                0.86349,                0.54738,                 1.3777,                0.80885,                 1.4311,             0.00047656,             0.00047656,             0.00047656
                     77,                0.96059,                0.64207,                 1.1806,                0.82724,                0.81399,                0.86334,                0.55613,                 1.3148,                0.81009,                 1.3802,             0.00046625,             0.00046625,             0.00046625
                     78,                0.98337,                0.67511,                 1.2017,                0.84746,                0.79447,                0.84956,                0.55837,                 1.2449,                0.81931,                 1.3394,             0.00045594,             0.00045594,             0.00045594
                     79,                 0.9829,                0.66775,                 1.2032,                0.89686,                0.73026,                0.84341,                0.56838,                 1.1424,                0.78465,                 1.2822,             0.00044563,             0.00044563,             0.00044563
                     80,                0.96289,                0.64091,                 1.1865,                0.81881,                0.83876,                0.86476,                0.52121,                 1.4503,                 0.8216,                 1.4308,             0.00043531,             0.00043531,             0.00043531
                     81,                0.99671,                0.64307,                 1.1995,                0.88608,                0.81101,                0.85431,                0.56306,                 1.2318,                0.78596,                 1.3058,               0.000425,               0.000425,               0.000425
                     82,                0.96261,                0.63572,                 1.1824,                0.84778,                0.82016,                0.84242,                0.56576,                 1.1799,                0.75387,                  1.298,             0.00041469,             0.00041469,             0.00041469
                     83,                0.96639,                0.64586,                 1.1946,                0.86535,                0.80313,                0.84971,                0.57149,                 1.1905,                 0.7823,                 1.2959,             0.00040438,             0.00040438,             0.00040438
                     84,                0.97203,                 0.6442,                 1.2078,                0.84681,                0.84764,                0.85504,                0.57277,                  1.202,                0.79256,                 1.3064,             0.00039406,             0.00039406,             0.00039406
                     85,                0.96895,                0.63181,                 1.1805,                0.79776,                0.84399,                0.84948,                0.57251,                 1.1513,                0.77002,                 1.3017,             0.00038375,             0.00038375,             0.00038375
                     86,                0.95251,                0.62587,                 1.1676,                0.85945,                0.81854,                0.86722,                0.57179,                 1.2945,                0.76619,                 1.3484,             0.00037344,             0.00037344,             0.00037344
                     87,                0.93701,                0.60437,                 1.1568,                0.84602,                0.83991,                0.86997,                0.58618,                 1.2368,                0.73246,                 1.3102,             0.00036313,             0.00036313,             0.00036313
                     88,                0.93737,                0.61388,                 1.1755,                0.86135,                0.84381,                 0.8794,                0.60362,                 1.1812,                0.69411,                 1.3027,             0.00035281,             0.00035281,             0.00035281
                     89,                0.92284,                0.60543,                 1.1584,                0.86817,                0.84507,                0.88124,                0.58971,                 1.1845,                0.69226,                 1.3076,              0.0003425,              0.0003425,              0.0003425
                     90,                0.93086,                0.61356,                 1.1593,                0.84926,                0.84582,                0.87364,                0.57374,                 1.2748,                0.73352,                  1.352,             0.00033219,             0.00033219,             0.00033219
                     91,                0.93029,                0.60402,                 1.1537,                0.84237,                0.83021,                0.86728,                0.58344,                 1.2291,                0.73247,                  1.329,             0.00032188,             0.00032188,             0.00032188
                     92,                0.92768,                0.58851,                 1.1499,                0.84623,                0.82446,                0.86422,                0.58503,                 1.1998,                0.74075,                 1.3136,             0.00031156,             0.00031156,             0.00031156
                     93,                0.92131,                0.60057,                 1.1748,                0.90425,                0.80325,                0.86078,                0.56797,                 1.2931,                0.76607,                 1.3605,             0.00030125,             0.00030125,             0.00030125
                     94,                0.93021,                0.59021,                 1.1552,                0.87595,                0.81563,                0.87453,                0.60441,                 1.1429,                0.69988,                 1.2995,             0.00029094,             0.00029094,             0.00029094
                     95,                0.92792,                0.60152,                 1.1582,                0.87677,                0.83685,                0.87549,                0.59166,                 1.2039,                0.68396,                 1.3201,             0.00028063,             0.00028063,             0.00028063
                     96,                0.91227,                 0.5716,                  1.149,                 0.8543,                0.85915,                 0.8819,                0.60768,                 1.1601,                0.66341,                 1.3158,             0.00027031,             0.00027031,             0.00027031
                     97,                0.92183,                0.56081,                  1.156,                0.89889,                0.82311,                0.88526,                0.58877,                 1.2608,                 0.6969,                 1.3566,                0.00026,                0.00026,                0.00026
                     98,                0.90217,                0.58408,                 1.1559,                0.91953,                0.80616,                0.88366,                0.57685,                 1.3195,                0.70848,                 1.3971,             0.00024969,             0.00024969,             0.00024969
                     99,                0.90348,                0.59627,                 1.1616,                0.87268,                0.84558,                0.88337,                0.58844,                 1.2707,                0.69009,                 1.3768,             0.00023938,             0.00023938,             0.00023938
                    100,                0.89808,                0.56577,                 1.1611,                0.88315,                0.82149,                0.88354,                0.58978,                 1.2204,                0.71457,                 1.3408,             0.00022906,             0.00022906,             0.00022906
                    101,                0.90924,                0.57139,                 1.1405,                0.88932,                0.81725,                0.87946,                0.59571,                 1.1712,                0.69532,                 1.3288,             0.00021875,             0.00021875,             0.00021875
                    102,                0.91498,                0.57227,                 1.1618,                0.89048,                0.81132,                0.86705,                0.58243,                 1.1862,                0.70968,                 1.3303,             0.00020844,             0.00020844,             0.00020844
                    103,                0.88936,                0.57701,                 1.1449,                 0.8897,                0.80976,                0.86312,                0.58081,                 1.2194,                0.70841,                   1.35,             0.00019813,             0.00019813,             0.00019813
                    104,                 0.8959,                0.57731,                 1.1505,                0.86508,                0.83025,                0.86387,                0.59009,                 1.1885,                0.68253,                 1.3304,             0.00018781,             0.00018781,             0.00018781
                    105,                0.86818,                 0.5455,                 1.1302,                0.87248,                0.83623,                0.86388,                0.58204,                 1.2209,                0.68411,                 1.3474,              0.0001775,              0.0001775,              0.0001775
                    106,                0.88242,                0.55322,                 1.1366,                0.87544,                0.84555,                0.87279,                0.58952,                  1.222,                0.70095,                 1.3631,             0.00016719,             0.00016719,             0.00016719
                    107,                0.90877,                0.55142,                 1.1425,                0.85942,                0.84759,                0.86983,                0.59161,                 1.2321,                 0.6884,                  1.371,             0.00015688,             0.00015688,             0.00015688
                    108,                0.91616,                 0.5564,                 1.1481,                 0.8584,                0.83834,                0.86866,                0.59658,                 1.1954,                0.68644,                 1.3402,             0.00014656,             0.00014656,             0.00014656
                    109,                0.87654,                0.55823,                 1.1375,                0.86159,                0.83328,                0.86702,                0.58658,                 1.2253,                0.70407,                 1.3483,             0.00013625,             0.00013625,             0.00013625
                    110,                0.88259,                0.54264,                 1.1262,                0.86746,                0.82527,                0.86303,                0.59551,                 1.1508,                0.67572,                 1.3065,             0.00012594,             0.00012594,             0.00012594
                    111,                 0.8217,                0.48424,                  1.084,                0.86591,                0.82911,                0.86419,                0.60608,                 1.1403,                 0.6692,                 1.3068,             0.00011563,             0.00011563,             0.00011563
                    112,                 0.7737,                0.41728,                 1.0575,                0.90472,                0.78393,                0.86512,                0.59409,                 1.1985,                 0.6916,                 1.3523,             0.00010531,             0.00010531,             0.00010531
                    113,                0.78941,                0.40393,                 1.0621,                0.89243,                0.78501,                 0.8699,                0.59686,                 1.1745,                0.67853,                 1.3404,                9.5e-05,                9.5e-05,                9.5e-05
                    114,                0.78237,                0.40128,                  1.065,                0.84444,                0.82437,                0.86735,                0.60489,                 1.1206,                0.67873,                 1.3075,             8.4688e-05,             8.4688e-05,             8.4688e-05
                    115,                0.76294,                0.38705,                 1.0501,                0.85517,                0.82734,                0.86219,                0.59094,                 1.1353,                0.69943,                 1.3119,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    116,                0.78014,                0.37889,                 1.0417,                0.85924,                0.81624,                0.85929,                0.59318,                 1.1344,                0.70798,                 1.3194,             6.4062e-05,             6.4062e-05,             6.4062e-05
                    117,                0.75151,                0.37924,                  1.038,                 0.8606,                0.81759,                 0.8581,                0.59693,                 1.1092,                0.69642,                 1.3036,              5.375e-05,              5.375e-05,              5.375e-05
                    118,                0.76066,                0.37848,                 1.0386,                0.86401,                0.82526,                0.85899,                 0.5975,                 1.1103,                0.69215,                 1.3056,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    119,                0.75896,                0.37523,                 1.0369,                0.86027,                0.82598,                0.85877,                0.59442,                 1.1232,                 0.6969,                 1.3146,             3.3125e-05,             3.3125e-05,             3.3125e-05
                    120,                0.74671,                0.39703,                 1.0469,                0.85901,                0.82854,                0.85934,                0.59971,                 1.1313,                0.70241,                 1.3186,             2.2812e-05,             2.2812e-05,             2.2812e-05
