                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3897,                 1.0923,                   1.52,                0.61161,                0.68401,                0.69375,                0.34435,                 1.6347,                 1.0462,                 1.5861,             0.00087636,             0.00087636,             0.00087636
                     35,                  1.395,                 1.0892,                 1.5123,                0.80403,                0.62809,                0.72212,                0.36477,                 1.5914,                 0.9883,                 1.5555,             0.00086902,             0.00086902,             0.00086902
                     36,                 1.3734,                 1.0643,                 1.4946,                0.78921,                0.59301,                0.70206,                0.33568,                 1.6555,                 1.0466,                 1.6107,             0.00086169,             0.00086169,             0.00086169
                     37,                  1.374,                 1.0618,                 1.5045,                0.70711,                0.66738,                0.74159,                0.36155,                 1.6302,                 1.0119,                 1.5757,             0.00085436,             0.00085436,             0.00085436
                     38,                 1.3845,                 1.0862,                 1.5205,                0.74777,                0.68489,                0.74387,                0.36121,                 1.6367,                0.99019,                 1.6159,             0.00084703,             0.00084703,             0.00084703
                     39,                 1.3681,                 1.0536,                 1.4922,                0.61373,                0.65021,                0.71803,                0.35611,                  1.576,                 1.0707,                 1.5817,             0.00083969,             0.00083969,             0.00083969
                     40,                 1.3661,                 1.0394,                 1.4915,                 0.7613,                0.63876,                0.69376,                0.33462,                 1.7208,                 1.0014,                 1.6503,             0.00083236,             0.00083236,             0.00083236
                     41,                 1.3772,                  1.051,                 1.5071,                0.75371,                 0.6665,                0.75077,                0.37932,                 1.5807,                0.96043,                 1.5714,             0.00082503,             0.00082503,             0.00082503
                     42,                 1.3548,                 1.0298,                 1.5032,                0.75261,                0.66756,                0.73018,                 0.3655,                 1.5486,                0.94662,                 1.5512,              0.0008177,              0.0008177,              0.0008177
                     43,                 1.3558,                 1.0384,                 1.4942,                0.61123,                0.69782,                0.68704,                0.33239,                 1.6815,                0.99077,                 1.6189,             0.00081036,             0.00081036,             0.00081036
                     44,                 1.3625,                 1.0266,                  1.491,                0.80161,                0.67817,                0.72832,                0.35274,                 1.5739,                0.99605,                 1.5778,             0.00080303,             0.00080303,             0.00080303
                     45,                 1.3382,                  0.994,                 1.4667,                0.69635,                 0.7024,                0.72218,                0.34988,                 1.6129,                0.99313,                 1.5894,              0.0007957,              0.0007957,              0.0007957
