                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7807,                 2.5733,                 1.9914,                0.72357,                0.27925,                0.33265,                0.09496,                  1.974,                 2.7367,                 2.1293,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.6631,                 2.5146,                 1.8842,                 0.7891,                0.33082,                0.40212,                0.13566,                 1.7658,                 2.5867,                 1.9016,             0.00011157,             0.00011157,             0.00011157
                      3,                 1.4859,                 2.3296,                 1.7502,                0.78237,                0.35789,                0.44257,                0.18977,                 1.5527,                 2.3269,                 1.7431,             0.00017211,             0.00017211,             0.00017211
                      4,                 1.3129,                 2.0887,                 1.6655,                0.67346,                0.40555,                0.47232,                0.24187,                   1.41,                 2.1238,                 1.7016,             0.00023162,             0.00023162,             0.00023162
                      5,                 1.2584,                  1.814,                 1.6192,                0.54302,                0.50679,                0.57943,                 0.3219,                 1.3651,                 1.8968,                 1.6681,              0.0002901,              0.0002901,              0.0002901
                      6,                   1.23,                 1.5223,                 1.6188,                 0.6385,                0.56808,                0.63296,                0.37224,                 1.3268,                 1.8195,                 1.6214,             0.00034755,             0.00034755,             0.00034755
                      7,                  1.193,                 1.4531,                  1.605,                0.59042,                0.69197,                0.69846,                  0.415,                 1.2952,                 1.6216,                 1.5728,             0.00040396,             0.00040396,             0.00040396
                      8,                 1.1735,                 1.3512,                 1.5348,                0.75877,                 0.6734,                 0.7375,                0.44809,                 1.2746,                 1.5683,                 1.5339,             0.00045935,             0.00045935,             0.00045935
                      9,                 1.1699,                 1.3185,                 1.5267,                0.66858,                0.69846,                0.72799,                0.44336,                 1.3133,                 1.6263,                 1.5355,              0.0005137,              0.0005137,              0.0005137
                     10,                 1.1515,                 1.2454,                 1.4788,                0.75861,                0.70281,                0.76773,                0.48013,                 1.2511,                  1.368,                 1.4637,             0.00056702,             0.00056702,             0.00056702
                     11,                 1.1387,                 1.2203,                 1.4627,                0.77205,                0.73562,                0.79183,                0.50898,                 1.2163,                 1.2862,                 1.4273,             0.00061931,             0.00061931,             0.00061931
                     12,                 1.1663,                 1.1735,                 1.4553,                 0.8144,                0.72722,                0.80932,                0.51974,                  1.249,                 1.3826,                 1.4166,             0.00067057,             0.00067057,             0.00067057
                     13,                  1.157,                 1.1858,                 1.4649,                0.80886,                 0.6873,                0.76391,                0.46906,                 1.3376,                 1.3999,                 1.4487,              0.0007208,              0.0007208,              0.0007208
                     14,                 1.1997,                 1.1781,                 1.4862,                0.81328,                0.73247,                0.79738,                0.51073,                 1.2533,                 1.2254,                 1.4262,                0.00077,                0.00077,                0.00077
                     15,                 1.1438,                 1.1301,                 1.4342,                0.82338,                0.75973,                0.80474,                 0.5105,                 1.2681,                 1.1185,                 1.3972,             0.00081816,             0.00081816,             0.00081816
                     16,                 1.1284,                 1.1112,                 1.4201,                0.73876,                0.74044,                0.76941,                0.48501,                 1.2677,                 1.1651,                 1.4082,              0.0008653,              0.0008653,              0.0008653
                     17,                 1.1267,                 1.0559,                  1.373,                0.80451,                0.69581,                0.80453,                0.50609,                 1.2396,                 1.1756,                 1.3727,              0.0009114,              0.0009114,              0.0009114
                     18,                  1.171,                 1.1093,                 1.4164,                0.77566,                0.76773,                0.80092,                0.49301,                 1.2527,                 1.1142,                 1.3841,             0.00095647,             0.00095647,             0.00095647
                     19,                 1.1363,                 1.0723,                 1.3895,                0.75258,                0.78574,                 0.8151,                0.50959,                 1.2486,                 1.1789,                 1.3919,              0.0010005,              0.0010005,              0.0010005
                     20,                 1.1474,                 1.0412,                 1.3999,                0.81923,                0.69223,                0.78049,                0.44237,                 1.4737,                 1.2492,                 1.5203,              0.0010435,              0.0010435,              0.0010435
                     21,                 1.2187,                  1.092,                 1.4539,                0.74542,                0.78206,                0.81617,                0.51243,                 1.2695,                 1.1737,                 1.4111,              0.0010438,              0.0010438,              0.0010438
                     22,                 1.1716,                 1.0652,                 1.4075,                0.83267,                0.76144,                0.81528,                0.49584,                 1.3547,                 1.1286,                 1.4344,              0.0010334,              0.0010334,              0.0010334
                     23,                 1.1225,                  1.032,                 1.3805,                0.77957,                0.73953,                 0.8053,                0.47332,                 1.4594,                 1.1024,                 1.4935,              0.0010231,              0.0010231,              0.0010231
                     24,                 1.1325,                0.99734,                 1.3722,                0.81033,                0.76753,                0.82294,                0.52441,                 1.2781,                 1.1445,                 1.3864,              0.0010128,              0.0010128,              0.0010128
                     25,                 1.1303,                0.99908,                 1.3756,                0.78135,                0.73686,                0.79866,                0.49928,                 1.3052,                 1.1539,                 1.3912,              0.0010025,              0.0010025,              0.0010025
                     26,                 1.1547,                 1.0062,                 1.3954,                0.74687,                 0.7058,                0.76086,                0.46652,                 1.3477,                 1.2218,                 1.4579,             0.00099219,             0.00099219,             0.00099219
                     27,                 1.1707,                0.98082,                 1.3921,                0.81349,                0.78356,                0.81578,                0.52495,                 1.2381,                 1.0402,                 1.3703,             0.00098187,             0.00098187,             0.00098187
                     28,                 1.1314,                 0.9694,                 1.3576,                0.75558,                0.74285,                0.80871,                0.50047,                 1.2666,                 1.0801,                 1.3786,             0.00097156,             0.00097156,             0.00097156
